,Документ,Дата,Сводка
10,11,26.03.2025,"Встреча от 26.03.2025, Документ № 11

Ключевые темы:
- Представление кандидатов и обновление стратегии HR.
- Подписание соглашений с городскими структурами о льготном обучении сотрудников.
- Организация мероприятий и взаимодействие с партнерами.
- Проект «Защитник» и взаимодействие с регионами.
- Взаимодействие с ПАО «Россети» и другими крупными организациями.
- Политическая информация и международные отношения.
- Вопросы иностранной рабочей силы и взаимодействие с государственными органами.

Основные тезисы:
- Анатолий Харахорин представил свой опыт и задачи по обновлению HR-стратегии.
- Обсуждение необходимости подписания соглашений с департаментами Москвы для льготного обучения.
- Подготовка к мероприятию «Арт Россия» и взаимодействие с ключевыми депутатами и сенаторами.
- Проект «Защитник» требует активного взаимодействия с регионами и решения вопросов с квотами на ввоз иностранной рабочей силы.
- Взаимодействие с ПАО «Россети» по проектам корпоративного обучения и другим инициативам.
- Обсуждение международной ситуации и влияния на внутренние проекты.
- Проблемы с ввозом иностранной рабочей силы и необходимость активизации взаимодействия с государственными органами.

Поручения:
- Лобов поручил Харахорину: Подготовить доклад об обновленной стратегии HR.
- Лобов поручил Мягких: Проработать возможность применения контактов Харахорина для спонсорских задач.
- Лобов поручил Кучерявому, Ерофееву и Мурадову: Подготовить доклад о подписании соглашений с городскими структурами о льготном обучении сотрудников.
- Лобов поручил Медведевой: Совместно с Корниловым и Семиным выделить ключевых депутатов и сенаторов для приглашения на Арт Россию.
- Лобов поручил Александрову: Подготовить таблицу с закреплением регионов по вопросам получения квот на ввоз иностранной рабочей силы.
- Лобов поручил Филатовой: Подготовить доклад о вузах, занимающихся нелегальным ввозом трудовых мигрантов.
- Лобов поручил Кучерявому: Подготовить доклад о направлениях для взаимодействия с Трутневым.
- Лобов поручил Семину, Султанову, Кучерявому и Назарову: Подготовить доклад о реализации проекта «Молодежь и дети».
- Лобов поручил Павлову: Подготовить доклад о взаимодействии с ВЭБ.
- Лобов поручил Кучерявому: Подготовить доклад о взаимодействии с АСИ.
- Лобов поручил Ерофееву: Подготовить доклад об открытии Колледжа цифровых профессий в Белгороде.

Участники:
- Вадим Лобов
- Анатолий Харахорин
- Медведева
- Кучерявый
- Мягких
- Александров
- Полякова
- Другие участники (не все имена упомянуты)

Важные упоминания:
- Взаимодействие с департаментами Москвы и другими регионами.
- Подготовка к мероприятиям и взаимодействие с партнерами.
- Проблемы с квотами на ввоз иностранной рабочей силы.
- Политическая ситуация и влияние на внутренние проекты.

Итог:
Встреча была посвящена обсуждению стратегических инициатив в области HR, взаимодействию с городскими структурами, подготовке к мероприятиям, а также решению вопросов с квотами на ввоз иностранной рабочей силы. Были даны поручения по подготовке докладов и взаимодействию с ключевыми партнерами."
11,12,28.05.2025,"Встреча от 28.05.2025, Документ № 12

Ключевые темы:
- Итоги проверки университета и стратегические действия после проверки.
- Новый закон о квотировании мест в вузах и его влияние.
- Возможности и стратегии взаимодействия с IT-компаниями.
- Международные инициативы, включая взаимодействие с Индией.
- Взаимодействие с крупными корпорациями и кадровые вопросы.

Основные тезисы:
- Университет успешно прошел комплексную проверку, что дает ему временный иммунитет от дальнейших проверок.
- Новый закон о квотировании мест в вузах принят в рекордные сроки, что вызывает необходимость адаптации и поиска стратегий для минимизации его влияния.
- Планируется создание централизованного хаба для IT-компаний на базе университета для облегчения выполнения требований Минцифры.
- Обсуждаются возможности расширения международного сотрудничества, включая открытие центров изучения русского языка в Индии.
- Необходимость активного взаимодействия с крупными корпорациями для укрепления позиций университета.

Поручения:
- Лобов поручил Кучерявому: Подготовить справку для обсуждения с представителями власти результатов прошедшей проверки.
- Лобов поручил Султанову: Подготовить план действий по проекту Парламент и доклад об опыте стран с действующим квотированием мест в вузах.
- Лобов поручил Султанову: Подготовить реестр организаций, имеющих влияние на распределение квот по направлениям обучения в вузах.
- Лобов поручил Кучерявому: Проработать вопрос организации выездного комитета по здравоохранению на базе Медфака Синергии.
- Лобов поручил Сарымову: Разработать программу визита Президента РФ в Индию, проработать вопрос включения в программу информации о Деловом центре, Российском образовательном агентстве, Колледже и Филиале Синергии; подготовить повторный доклад.
- Лобов поручил Назарову, Рагине и Алончиковой: Оказать содействие Филатовой в установлении контактов с HR-директором Лента.

Участники:
- Лобов
- Другой
- Кучерявый
- Султанов
- Полякова
- Мягких
- Филатова
- Сарымов

Важные упоминания:
- Успешное прохождение проверки университетом.
- Новый закон о квотировании мест в вузах.
- Возможности взаимодействия с IT-компаниями через Минцифры.
- Международные проекты, включая сотрудничество с Индией.
- Взаимодействие с крупными корпорациями, такими как Лента и Ростех.

Итог:
- Встреча была посвящена обсуждению стратегических действий после успешного прохождения проверки, адаптации к новому закону о квотировании и расширению международного сотрудничества. Были даны конкретные поручения для реализации намеченных планов и укрепления позиций университета на рынке образования."
12,13,04.06.2025,"Встреча от 04.06.2025, Документ № 13

Ключевые темы:
- Разработка и внедрение учебников по НВП (начальная военная подготовка) в школьную программу.
- Организация корпоративных программ в Китае и их масштабирование.
- Проект 5% для IT-компаний и их вклад в IT-образование.
- Региональная образовательная платформа и её развитие.
- Взаимодействие с Ассоциацией юристов России и участие в юридическом форуме.
- Подготовка к выставке ""Арт Россия"" и её деловая программа.
- Участие в мероприятиях Лиги арабских государств в РФ.

Основные тезисы:
- Необходимость популяризации и внедрения учебников по НВП в школьную программу.
- Масштабирование корпоративных программ в Китае для привлечения большего числа участников.
- Внедрение проекта 5% для IT-компаний, направленного на поддержку IT-образования.
- Разработка и продвижение региональной образовательной платформы, включая её модульное использование.
- Участие в юридическом форуме и взаимодействие с Ассоциацией юристов России для укрепления позиций юридического факультета.
- Подготовка к выставке ""Арт Россия"", включая организацию деловой программы и привлечение спонсоров.
- Планирование участия в мероприятиях Лиги арабских государств в РФ и поиск партнёров для образовательных инициатив.

Поручения:
- Лобов поручил Кучерявому: Подготовить доклад о популяризации учебника НВП и дорожную карту по его внедрению.
- Лобов поручил Кудинову: Провести встречи с депутатами Госдумы для поддержки НВП.
- Лобов поручил Ремыге и Александровой: Провести персональные встречи с GR-директорами для поиска контактов в Китае.
- Лобов поручил Кучерявому: Подготовить повторный доклад по проекту 5% для IT-компаний.
- Лобов поручил Ерофееву: Подготовить проект приказа о системе мотивации по цифровой образовательной экосистеме.
- Лобов поручил Сарымову: Подготовить доклад о визите Президента РФ в Индию и образовательном агентстве.
- Лобов поручил Медведевой: Проработать стратегию деловой части ""Арт России"".

Участники:
- Лобов
- Кудинов
- Кучерявый
- Ремыга
- Полякова
- Другие участники (не все имена указаны)

Важные упоминания:
- Упоминание о необходимости поддержки со стороны Министерства просвещения для внедрения НВП.
- Взаимодействие с ключевыми фигурами, такими как Трутнев и Кириенко, для продвижения инициатив.
- Важность привлечения партнёров и спонсоров для успешной реализации проектов.
- Участие в международных форумах и выставках для расширения образовательных и культурных инициатив.

Итог:
Встреча была посвящена обсуждению стратегий по внедрению учебников НВП, масштабированию образовательных программ в Китае, реализации проекта 5% для IT-компаний, а также подготовке к участию в международных форумах и выставках. Были определены ключевые задачи и поручения для участников встречи, направленные на успешное продвижение и реализацию обсуждаемых инициатив."
13,14,09.04.2025,"Встреча от 09.04.2025, Документ № 14

Ключевые темы:
- Взаимодействие с университетами и развитие образовательных программ.
- Стратегическое планирование и взаимодействие с государственными структурами.
- Вопросы кадровой политики и международного сотрудничества.
- Организация мероприятий и участие в культурных инициативах.
- Анализ текущей политической и экономической ситуации.

Основные тезисы:
- Создание базовой кафедры Минеевой Татьяны и развитие взаимодействия с индустриальными партнерами.
- Обсуждение изменений в образовательной политике, включая ограничения на платные места в вузах.
- Планы по привлечению иностранных студентов и рабочих, особенно из Индии.
- Подготовка к проверкам и взаимодействие с государственными органами.
- Развитие проекта ""Защитник"" и взаимодействие с регионами.
- Организация и проведение мероприятий, таких как Art Россия и участие в международных форумах.

Поручения:
- Лобов поручил Кучерявому: подготовить план взаимодействия с Минеева и организовать мастер-классы.
- Лобов поручил Вепринцевой: съездить в Тулу для урегулирования вопросов с долгами.
- Лобов поручил Назарову: подготовить тезисы для выступления на круглом столе в общественной палате.
- Лобов поручил Комиссарову: подготовить доклад по искусственному интеллекту для госорганов.
- Лобов поручил Сарымову: включиться в активность по GR блоку и взаимодействовать с Юрием.

Участники:
- Вадим Лобов
- Роман Кучерявый
- Михнева М.
- Вепринцева
- Полякова
- Другие участники, включая представителей различных комитетов и департаментов.

Важные упоминания:
- Взаимодействие с Минеева Татьяной и создание базовой кафедры.
- Обсуждение законопроекта об ограничении платных мест в вузах.
- Привлечение индийских студентов и рабочих.
- Организация мероприятий Art Россия и участие в международных форумах.
- Взаимодействие с государственными органами и подготовка к проверкам.

Итог:
Встреча была посвящена обсуждению стратегических инициатив в области образования, взаимодействию с государственными структурами и международными партнерами, а также организации культурных и образовательных мероприятий. Были даны конкретные поручения по развитию проектов и взаимодействию с ключевыми партнерами."
14,15,12.02.2025,"Встреча от 12.02.2025, Документ № 15

Ключевые темы:
- Сопровождение писем по проекту ""Защитник"" и работа с регионами.
- Разработка и продвижение образовательных инициатив, включая факультет технологического предпринимательства.
- Взаимодействие с компаниями для привлечения трудовых мигрантов.
- Обсуждение стратегий по работе с ветеранами и создание координационного центра.
- Продвижение и монетизация проектов, связанных с искусственным интеллектом и цифровыми образовательными системами.

Основные тезисы:
- Необходимость создания таблиц для распределения людей по регионам и блокам.
- Важность работы с ключевыми регионами и установление связей с местными администрациями.
- Разработка новой образовательной программы, ориентированной на стартапы и предпринимательство.
- Работа с иностранными трудовыми ресурсами и необходимость привлечения мигрантов из новых регионов.
- Создание методического центра для работы с ветеранами, учитывая их разнообразные потребности.
- Продвижение проекта ""Защитник Отечества"" и поиск способов его монетизации.

Поручения:
- Лобов поручил Хитрову: подготовить письмо для Давида и обсудить с ним проект.
- Лобов поручил Александрову: доехать до Матвеевой и обсудить проект.
- Лобов поручил Резниченко: подготовить доклад по цифровой образовательной системе.
- Другой поручил Лобову: организовать встречу с Ивковой и Мягких для обсуждения пресс-релиза.
- Лобов поручил Андрею: подготовить поздравление для Андрея Вениаминовича Ярина.

Участники:
- Лобов
- Другой
- Резниченко
- Филиппов
- Андреев
- Немирюк
- Хитров
- Александров
- Васильев
- Шуленин
- Сапрыкин
- Медведева
- Ивкова
- Мягких

Важные упоминания:
- Проект ""Защитник"" и его реализация в регионах.
- Факультет технологического предпринимательства и его роль в образовательной системе.
- Взаимодействие с компаниями, такими как Ozon, для привлечения трудовых мигрантов.
- Важность работы с ветеранами и создание координационного центра.
- Стратегии по продвижению цифровых образовательных систем в регионах и за рубежом.

Итог:
- Встреча сосредоточилась на обсуждении стратегий по продвижению и монетизации различных проектов, включая образовательные инициативы, работу с мигрантами и ветеранами. Были обозначены ключевые задачи и поручения для участников, а также намечены дальнейшие шаги по реализации поставленных целей."
15,16,12.03.2025,"Встреча от 12.03.2025, Документ № 16

Ключевые темы:
- Разработка и реализация проекта «Столица профессий».
- Инвестклуб и проект «Академия Синергия».
- Проект по кофе из Уганды.
- Взаимодействие с государственными органами и участие в комиссиях.
- Поддержка ветеранов спецопераций.
- Стратегия по развитию беспилотных технологий.
- Взаимодействие с международными партнерами и проекты в Африке и Азии.
- Организация конференции по Гостех.
- Взаимодействие с МВД и развитие правоохранительных программ.

Основные тезисы:
- Необходимость создания рабочей группы для изучения возможности участия в программе на 180 млрд рублей.
- Подготовка к следующему мероприятию инвестклуба с фокусом на целевых участников.
- Разработка проекта «Столица профессий» для привлечения 100 тысяч человек в колледжи Москвы.
- Поддержка инициатив по обучению и развитию кадров в Африке и Азии.
- Важность участия в комиссиях и рабочих группах по поддержке ветеранов и развитию технологий.
- Развитие проекта по беспилотникам с акцентом на сельское хозяйство и аэрологистику.
- Подготовка к организации международной конференции по Гостех.

Поручения:
- Лобов поручил Алихану: подготовить комплект документов.
- Лобов поручил Ренату: оказать системный саппорт подготовки доклада.
- Лобов поручил Оксане: предоставить коллегам детали и энергию для решения задач.
- Лобов поручил Андрею: выдать всем книжки для подготовки к тренингу.
- Лобов поручил Хитрову: подготовить письмо для Бабушкина.
- Лобов поручил Васильеву: провести встречу с Святенко.
- Лобов поручил Медведеву: подготовить доклад по креативному кластеру.
- Лобов поручил Волостнову: сделать доклад по беспилотным технологиям.

Участники:
- Лобов
- Другой (несколько участников)
- Михнёва М.
- Хитров
- Кудинов
- Васильев

Важные упоминания:
- Проект «Академия Синергия» и его модель финансирования.
- Важность поддержки и развития инициатив в Африке (Уганда).
- Взаимодействие с государственными органами, включая Минобороны и МВД.
- Участие в международных проектах и конференциях.
- Проект по адаптации ветеранов спецопераций.

Итог:
- Встреча была посвящена обсуждению множества проектов и инициатив, направленных на развитие образовательных программ, поддержку ветеранов и развитие технологий. Были даны поручения по подготовке документов, организации мероприятий и взаимодействию с государственными органами. Участники обсудили стратегии по развитию международного сотрудничества и участия в ключевых комиссиях."
16,17,19.02.2025,"Встреча от 19.02.2025, Документ № 17

Ключевые темы:
- Взаимодействие с иностранными партнерами и привлечение иностранных граждан для работы.
- Разработка и внедрение программно-аппаратных комплексов для безопасности регионов.
- Организация и проведение мероприятий и форумов.
- Финансовые результаты и планирование на 2025 год.
- Развитие образовательных программ и факультетов.

Основные тезисы:
- Необходимость активного взаимодействия с кадровыми агентствами и союзами ветеранов для привлечения иностранных граждан.
- Презентация программно-аппаратного комплекса для безопасности региона, внедренного в Белгородской области, и планы по его расширению в Курской области.
- Обсуждение организации крупных мероприятий, таких как штурм Берлина и форум репутации.
- Обсуждение финансовых результатов и планов по достижению целевых показателей на 2025 год.
- Важность развития юридического и инженерного факультетов, а также необходимость создания экспертных советов для поддержки образовательных инициатив.

Поручения:
- Лобов поручил Ольге: подготовить реестр контактов для взаимодействия с иностранными партнерами.
- Лобов поручил Волостнову: подготовить доклад по программно-аппаратному комплексу для Курской области.
- Лобов поручил Назарову: организовать форум репутации и привлечь партнеров.
- Лобов поручил Алончиковой: провести встречи с директорами и представить продукты и услуги компании.
- Лобов поручил Рагине: набрать первую группу для образовательной программы и подготовить отчет о наборе.

Участники:
- Лобов
- Волостнов
- Назаров
- Алончикова
- Рагиня
- Другие участники, упомянутые в диалогах.

Важные упоминания:
- Программно-аппаратный комплекс для безопасности региона.
- Взаимодействие с союзами ветеранов и кадровыми агентствами для привлечения иностранных граждан.
- Форум репутации и его значение для стратегических коммуникаций.
- Финансовые результаты и планирование на 2025 год.

Итог:
- Встреча охватила широкий спектр тем, от безопасности и международного сотрудничества до образовательных инициатив и финансового планирования. Были даны конкретные поручения для дальнейшего развития и реализации обсуждаемых проектов."
17,18,23.04.2025,"Встреча от 23.04.2025, Документ № 18

Ключевые темы:
- Обсуждение взаимодействия с Евкуровым и план действий по проекту «Защитник».
- Проблемы и перспективы иностранного легиона.
- Стратегия развития частного образования и ограничение набора на платные места.
- Взаимодействие с IT-компаниями в рамках образовательных инициатив.
- Организация и развитие проекта АРТ РОССИЯ.
- Взаимодействие с государственными структурами и поиск поддержки для проектов.

Основные тезисы:
- Необходимость активного взаимодействия с Евкуровым и другими лицами для решения текущих задач.
- Проблемы с набором квалифицированных кадров для СВО и предложения по привлечению иностранных специалистов.
- Обсуждение законопроекта об ограничении платных мест в вузах и его влияние на частное образование.
- Важность создания стратегий для развития инженерного образования.
- Планы по взаимодействию с IT-компаниями для улучшения образовательных программ.
- Обсуждение успехов и дальнейших планов по проекту АРТ РОССИЯ, включая привлечение спонсоров и VIP-гостей.

Поручения:
- Лобов поручил Алихану: уточнить дату и время встречи с Евкуровым после майских праздников.
- Лобов поручил Роману: проанализировать регионы с высокими выплатами и сосредоточиться на них.
- Лобов поручил Надежде: провести социологическое исследование по выбору выпускниками специальностей.
- Лобов поручил Сарымову: подготовить доклад по международным проектам в связи с лигой арабских государств.
- Лобов поручил Сапрыкину: проработать возможность регистрации в Сколково для реализации ДПО с педагогами.

Участники:
- Вадим Лобов
- Алихан Хашиев
- Другие участники, включая представителей различных проектов и инициатив.

Важные упоминания:
- Проект «Защитник» и его развитие.
- Иностранный легион и его возможные проблемы с безопасностью.
- Законопроект об ограничении платных мест в вузах.
- IT-компании и их участие в образовательных инициативах.
- Проект АРТ РОССИЯ и его успехи.

Итог:
- Встреча была посвящена обсуждению стратегий и планов по нескольким ключевым проектам, включая взаимодействие с государственными и частными структурами. Были даны конкретные поручения для дальнейшего развития проектов и решения текущих задач."
18,19,30.04.2025,"Встреча от 30.04.2025, Документ № 19

Ключевые темы:
- Подготовка визита президента в Индию и разработка программы мероприятий.
- Обсуждение законопроекта, ограничивающего набор на платные специальности в вузах.
- Разработка стратегии по увеличению количества инженеров в России.
- Программа ""Мир возможностей"" и её развитие.
- Иностранный легион и привлечение людей из стран СНГ.
- Взаимодействие с Общественной палатой и продвижение частного образования.

Основные тезисы:
- Необходимость создания программы подготовки кадров для визита президента в Индию.
- Критика законопроекта, ограничивающего платное образование, и поиск путей его блокировки.
- Стратегия по развитию инженерного образования и борьба с некачественными вузами.
- Развитие форума ""Мир возможностей"" с участием Шувалова и ВЭБ.
- Привлечение иностранных легионеров и граждан СНГ для участия в СВО.
- Использование Общественной палаты как инструмента для продвижения частного образования.

Поручения:
- Лобов поручил Сарымову: Заняться проектом подготовки к визиту президента в Индию.
- Лобов поручил Султанову: Обеспечить распространение аналитической справки о законопроекте.
- Лобов поручил Волостнову: Разработать стратегию по инженерному направлению для Синергии.
- Лобов поручил Роману: Подготовить проект по иностранному легиону и Защитнику.
- Лобов поручил Стасу: Организовать взаимодействие с Общественной палатой.

Участники:
- Лобов
- Другой (несколько участников)
- Султанов
- Кудрявцев
- Решетова
- Сарымов
- Роман
- Стас

Важные упоминания:
- Законопроект, ограничивающий платное образование.
- Визит президента в Индию.
- Форум ""Мир возможностей"".
- Иностранный легион и привлечение граждан СНГ.
- Общественная палата и частное образование.

Итог:
Встреча была посвящена обсуждению нескольких стратегических инициатив, включая подготовку к визиту президента в Индию, критику и противодействие законопроекту, ограничивающему платное образование, развитие инженерного направления в Синергии, а также взаимодействие с Общественной палатой для продвижения частного образования. Были даны конкретные поручения участникам для дальнейшего развития обсуждаемых тем."
19,20,14.05.2025,"Встреча от 14.05.2025, Документ № 20

Ключевые темы:
- Взаимодействие с регионами по установке и оплате информационных систем.
- Разработка и продвижение цифровой образовательной платформы.
- Обсуждение законопроекта о квотах на платные места в вузах.
- Привлечение иностранных граждан для работы и обучения в России.
- Взаимодействие с международными партнерами и организациями.

Основные тезисы:
- Необходимость согласования бюджета на установку информационной системы в Белгородской области.
- Продвижение цифровой образовательной платформы в регионах и обсуждение ее названия.
- Обсуждение законопроекта о квотах на платные места в вузах и его потенциальные последствия.
- Проблемы и стратегии привлечения иностранных граждан для работы в России.
- Взаимодействие с международными партнерами, включая Сбербанк и другие компании.

Поручения:
- Лобов поручил Михаилу: сделать анализ присутствия конкурентов в регионах.
- Лобов поручил Ольге: поддержать Филатову в вопросе участия в тендере Озона.
- Лобов поручил участникам: подготовить материалы для обсуждения законопроекта о квотах в вузах.
- Лобов поручил участникам: разработать стратегию привлечения иностранных граждан для работы в России.

Участники:
- Лобов
- Другой (несколько участников, не идентифицированные по именам)
- Кучерявый
- Филатова
- Вепринцева
- Кудинов
- Хашиев

Важные упоминания:
- Сбербанк как партнер в Индии.
- Инопрактика и цифровая образовательная платформа.
- Законопроект о квотах на платные места в вузах.
- Международные отношения с Индией и другими странами.

Итог:
- Встреча охватила несколько ключевых тем, включая развитие цифровых образовательных технологий, взаимодействие с регионами и международное сотрудничество. Были даны поручения по анализу конкурентов, поддержке участия в тендерах и разработке стратегии привлечения иностранных граждан. Обсуждение законопроекта о квотах в вузах выявило необходимость более глубокой проработки и взаимодействия с законодательными органами."
20,21,25.06.2025,"Встреча от 25.06.2025, Документ № 21

Ключевые темы:
- Неадресные субсидии и их распределение.
- Взаимодействие с регионами (Нижний Новгород, Самара).
- Развитие инженерного образования и привлечение стратегических партнеров.
- Планирование делегации в Китай.
- Подготовка учебников по начальной военной подготовке (НВП).
- Реализация проекта «5%» для IT-компаний.
- Стратегия реагирования на квоты в образовании.
- Анализ законодательства и правовой анализ.
- Обучение ветеранов СВО.

Основные тезисы:
- Неадресные субсидии стали актуальной темой, требуется регулярный доклад и взаимодействие с министерствами.
- Необходимость установления контактов с регионами для решения финансовых вопросов.
- Привлечение партнеров для развития инженерного образования в регионах.
- Запланирована поездка в Китай для участия в WOW форуме и дальнейшего взаимодействия.
- Подготовка учебников по НВП, планируется их презентация на Дальневосточном форуме.
- Проект «5%» требует доработки презентации для IT-компаний.
- Обсуждение стратегии реагирования на изменения в образовательных квотах.
- Важность правового анализа в текущих условиях.
- Обучение ветеранов СВО управлению беспилотниками.

Поручения:
- Лобов поручил Кучерявому: Подготовить регулярный доклад «Неадресные субсидии 2025 года с распределением».
- Лобов поручил Кучерявому: Подготовить доклад «Нижний Новгород. Самара. Выплаты» на совещание «Защитник 2».
- Лобов поручил Белякову: Подготовить регулярный доклад «МТИ» (проект второго приоритета).
- Лобов поручил Ремыге: Подготовить повторный доклад «Китай. Запланированные встречи. Состав делегации».
- Лобов поручил Кучерявому: Подготовить повестку на встречу с Министром науки и высшего образования Российской Федерации Фалькова В.Н.
- Лобов поручил Комиссарову, Мурадову, Семину, Бекишеву: Доработать дизайн презентации «Синерджи Старт».
- Лобов поручил Кучерявому: Подготовить итоговые варианты двух книг учебника НВП.
- Лобов поручил Кучерявому: Актуализировать справку о необходимости введения НВП.
- Лобов поручил Кучерявому: Подготовить письмо от Трутнева Ю.П. в адрес Президента РФ.
- Лобов поручил Кучерявому: Подготовить регулярный доклад «5%» (проект второго приоритета).
- Лобов поручил Назарову: Подготовить доклад «Обучение бывших участников СВО управлению БПЛА в гражданских целях».
- Лобов поручил Кучерявому: Подготовить доклад «Форум молодых специалистов в Калужской области (Росатом)».
- Лобов поручил Александрову: На сборке проекта «Магистратура».

Участники:
- Лобов
- Кучерявый
- Беляков
- Ремыга
- Другие участники (не указаны по именам)

Важные упоминания:
- Взаимодействие с Минобрнауки, Минпрос, Минздрав.
- Участие в Питерском форуме и планирование участия в других форумах.
- Важность правового анализа в текущих условиях.
- Обучение ветеранов СВО и их интеграция в гражданскую жизнь.

Итог:
Встреча была посвящена обсуждению ключевых проектов и инициатив, включая распределение неадресных субсидий, развитие инженерного образования, подготовку учебников по НВП и взаимодействие с IT-компаниями в рамках проекта «5%». Были даны поручения по подготовке докладов и презентаций, а также обсуждены стратегии реагирования на изменения в образовательных квотах и правовой анализ."
21,22,02.04.2025,"Встреча от 02.04.2025, Документ № 22

Ключевые темы:
- Подготовка и проведение Мегакампус саммита в Москве.
- Взаимодействие с администрацией города Москвы и федеральными органами.
- Развитие образовательных проектов и программ.
- Взаимодействие с регионами, в частности с Белгородом.
- Грантовая деятельность и привлечение финансирования.

Основные тезисы:
- Необходимость проведения Мегакампус саммита в Москве с привлечением международных спикеров и туристов.
- Проблемы взаимодействия с московскими властями, необходимость выхода на мэра Москвы.
- Обсуждение возможных площадок для проведения саммита, таких как ВТБ Арена.
- Идея создания филиалов и образовательных программ в регионах, таких как Белгород.
- Важность привлечения грантов и тендеров для финансирования образовательных инициатив.

Поручения:
- Лобов поручил Другому: Подготовить презентацию для мэра Москвы по поводу проведения Мегакампус саммита.
- Лобов поручил Кучерявому: Собрать информацию и подготовить реестр проектов.
- Лобов поручил Ренату: Возглавить рабочую группу по взаимодействию с Белгородом.
- Лобов поручил Алончикову: Подготовить доклад по образовательным инициативам.
- Лобов поручил Ивковой: Объединить наработки по мероприятиям для Государственной думы.

Участники:
- Лобов
- Другой
- Михнёва М.
- Ивкова
- Ренат
- Алончикова

Важные упоминания:
- Возможность использования площадки ВТБ Арена для проведения мероприятий.
- Взаимодействие с крупными компаниями, такими как ВТБ и Россети, для поддержки образовательных программ.
- Упоминание о необходимости привлечения международных спикеров и туристов в Москву.
- Обсуждение грантовых заявок и успешное привлечение финансирования.

Итог:
- Встреча была посвящена обсуждению стратегий по проведению Мегакампус саммита в Москве и развитию образовательных инициатив в регионах. Были определены ключевые задачи и поручения для участников, направленные на достижение поставленных целей."
22,23,05.02.2025,"Встреча от 05.02.2025, Документ № 23

Ключевые темы:
- Поездка делегации в Индию и взаимодействие с индийскими партнёрами.
- Проект «Защитник» и его развитие.
- Взаимодействие с регионами России, включая Москву, Санкт-Петербург и Казань.
- Вопросы, связанные с Северной Кореей и возможные риски.
- Взаимодействие с международными партнёрами и организациями.
- Образовательные инициативы и проекты, включая предпринимательство и патриотическое воспитание.

Основные тезисы:
- Необходимость выяснить результаты поездки делегации в Индию и предложить свои идеи для дальнейшего сотрудничества.
- Акцент на проекте «Защитник» как на важной инициативе с потенциалом для монетизации.
- Важность налаживания контактов с ключевыми регионами России для реализации различных проектов.
- Обсуждение возможных рисков и стратегий взаимодействия с Северной Кореей.
- Планирование участия в международных форумах и выставках для укрепления позиций и расширения сетей контактов.
- Поддержка образовательных и патриотических инициатив как важного направления работы.

Поручения:
- Лобов поручил Нечаеву: выяснить детали поездки в Индию.
- Лобов поручил Алихану: подготовить обобщённый доклад по поездке в Индию.
- Лобов поручил Другому: доехать до Бабакова и отработать с аппаратом Слуцкого.
- Лобов поручил Ольге: подготовить таблицу по регионам с закреплёнными людьми.
- Лобов поручил Другому: выяснить у Аветова и Немерюка о предоставлении профильного зама.
- Лобов поручил Другому: подготовить предложения по проекту «Защитник» для Матвиенко.
- Лобов поручил Другому: подготовить доклад по взаимодействию с Северной Кореей.
- Лобов поручил Другому: выяснить у МИДа детали по теме Кореи.
- Лобов поручил Вепринцевой: подготовить повторный доклад по предпринимательству через две недели.

Участники:
- Лобов
- Другой (несколько участников)
- Вепринцева
- Михнева
- Ольга
- Алихан
- Нечаев
- Другие упомянутые участники: Володин, Слуцкий, Бабаков, Казакова, Кашин, Топилин, Олимпов, Цивилев, Маршавин, Шевкунов, Аветов, Немерюк, Цветков, Мурадов, Гарбузов, Кострома, Кануков, Овчинников, Стеглев, Газизов, Хайруллин, Шайхудинов, Сапрыкин, Бекотникова, Ковальчук, Васильев, Назаров.

Важные упоминания:
- Проект «Защитник» как ключевой элемент стратегии.
- Важность взаимодействия с индийскими партнёрами и результаты поездки делегации.
- Необходимость координации с регионами России для реализации проектов.
- Обсуждение международных инициатив, включая взаимодействие с Северной Кореей и участие в международных форумах.
- Поддержка образовательных и патриотических программ как часть стратегического плана.

Итог:
Встреча была посвящена обсуждению текущих проектов и инициатив, включая международное сотрудничество, внутренние проекты и образовательные инициативы. Были даны конкретные поручения участникам для дальнейшего развития проектов и укрепления позиций на международной арене."
